,station_id,name,lat,lon,address,nearby_distance,capacity,_ride_code_support,is_charging_station,rent_key,rent_phone,rent_transit_card,rent_credit_card
523,7630,Twelfth St / Thirteenth St,43.6002896,-79.5108692,Twelfth St / Thirteenth St,1609.34,22,True,False,True,True,True,True
524,7631,Florence Gell Park,43.6615467,-79.498398,Florence Gell Park,1609.34,15,True,False,True,True,True,True
525,7632,Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,Chiltern Hill Rd / Eglinton Ave W,1609.34,17,True,False,True,True,True,True
526,7633,Noble St / Queen St W,43.6424558,-79.4296346,1266 Queen St W,1609.34,15,True,False,True,True,True,True
527,7634,University Ave / Gerrard St W (WEST) - SMART,43.6578449,-79.3899265,600 University Ave,1609.34,18,True,False,True,True,False,True
528,7635,Runnymede Rd / Annette St,43.6596299,-79.4799176,Runnymede Rd / Annette St,1609.34,15,True,False,True,True,True,True
529,7636,Bloor St W / Riverside Dr,43.647663,-79.487583,2511 bloor st w,1609.34,23,True,False,True,True,True,True
530,7637,Judson St / Royal York Rd,43.6162721,-79.4990363,10 Judson St,1609.34,19,True,False,True,True,True,True
531,7639,135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,135 Queens Warf,1609.34,16,True,False,True,True,False,True
532,7640,Spadina Rd / St.Clair Ave West,43.683979,-79.410657,333 St.Clair Ave West,1609.34,15,True,False,True,True,True,True
533,7641,Annette St / Dundas St W,43.6641174,-79.4588522,2659 Dundas St W,1609.34,15,True,False,True,True,True,True
534,7642,Yonge St / St Clair Ave,43.68850459999999,-79.3940052,1451 Yonge Street,1609.34,19,True,False,True,True,True,True
535,7643,Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,80 Oriole Parkway,1609.34,19,True,False,True,True,True,True
536,7644,East Lynn Ave / Danforth Ave,43.6850809,-79.3149901,108 East Lynn Avenue,1609.34,15,True,False,True,True,True,True
537,7645,University of Toronto Scarborough,43.7842419,-79.1849889,1295-1307 Military Trail,1609.34,16,True,False,True,True,True,True
538,7646,University Ave / Richmond St W,43.6503935,-79.3860211,225 University Avenue,1609.34,35,True,False,True,True,True,True
539,7647,Elm St/ University Ave (East Side),43.65637299999999,-79.38781039999999,117 Elm Street,1609.34,17,True,False,True,True,True,True
540,7648,909 Yonge St,43.67515255542865,-79.38849615969643,909 Yonge St,16093.4,14,True,False,True,True,True,True
541,7650,St Clair West Subway Station - Heath Entrance,43.686352,-79.415894,2 Heath Street West,1609.34,22,True,False,True,True,True,True
542,7654,Bloor St W / Pacific Ave,43.65412449999999,-79.4636388,3 Pacific Avenue,1609.34,7,True,False,True,True,True,True
543,7655,Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,896 Danforth Avenue,1609.34,15,True,False,True,True,True,True
544,7656,Bloor St W / Brock Ave,43.6589882,-79.438715,Bloor St W / Brock Av,1609.34,11,True,False,True,True,True,True
545,7657,1 Market St - SMART,43.6469928,-79.3706665,1 Market St,1609.34,19,True,True,True,True,True,True
546,7658,Kings Mill Park,43.64920406876699,-79.49336334201408,2639 Bloor St W,1609.34,27,True,False,True,True,True,True
547,7659,Amroth Ave / Danforth Ave,43.6856128,-79.31168269999999,Amroth Ave / Danforth Ave,1609.34,19,True,False,True,True,True,True
548,7660,285 Victoria St,43.656633,-79.379625,26 Dundas Street East,1609.34,19,True,False,True,True,True,True
549,7662,Beaty Ave / Queen St W,43.6393107,-79.4408141,85 Beaty Avenue,1609.34,19,True,False,True,True,True,True
550,7663,Kilgour Rd / Rumsey Rd,43.718039,-79.371914,98 Glenvale Boulevard,1609.34,17,True,False,True,True,True,True
551,7664,Sunnybrook Health Centre - L Wing,43.72268,-79.37644,60 Raab Blvd,1609.34,15,True,False,True,True,True,True
552,7665,Sunnybrook Health Centre - S Wing,43.720998,-79.377456,Test,1609.34,11,True,False,True,True,True,True
553,7666,Dundas St W / St Helen's Ave - SMART,43.6504218,-79.4407647,505 College Street,1609.34,26,True,False,True,True,False,True
554,7667,Spadina Ave / Sussex Ave - SMART,43.66402799999999,-79.40297869999999,698 Spadina Avenue,1609.34,35,True,False,True,True,True,True
555,7668,Simcoe St / Dundas St W - SMART,43.6558557,-79.3894093,Simcoe St / Dundas St W,1609.34,20,True,True,True,True,True,True
556,7670,Yonge St / Woburn Ave - SMART,43.72814640000001,-79.4032194,3180 Yonge Street,1609.34,12,True,False,True,True,False,True
557,7671,Yonge St / Montgomery Ave - SMART,43.7093201,-79.3996301,25 Montgomery Ave,1609.34,12,True,False,True,True,False,True
558,7675,1525 Dundas St W,43.64957,-79.432446,1529 Dundas Street West,16093.4,15,True,False,True,True,True,True
559,7676,York University (Glendon Campus) - SMART,43.72736548824631,-79.3814254607724,"1 Chedington Pl, North York, ON M4N 3R4",16093.4,16,True,False,True,True,False,True
560,7677,1303 Yonge St - SMART,43.6846177,-79.39245919999999,1303 YONGE Street,16093.4,16,True,False,True,True,False,True
561,7678,York University Station (South) - SMART,43.77345,-79.5002,York University Station - SMART,16093.4,16,True,False,True,True,False,True
562,7679,York University Station (North),43.7741,-79.5005,York University Station,100.0,15,True,False,True,True,True,True
563,7680,Princes' Blvd / Nunavut Rd,43.6334636,-79.4143057,PRINCES' BLVD / NOVA SCOTIA AVE,1609.34,19,True,False,True,True,True,True
564,7681,25 Booth Ave,43.6544839,-79.34105699999999,25 BOOTH AVE,1609.34,24,True,True,True,True,True,True
565,7682,Bathurst St / Front St W,43.64134790000001,-79.4013882,Bathurst St / Front St W,3218.68,27,True,False,True,True,True,True
566,7683,Bay St / Harbour St (West),43.64191,-79.378325,Bay St / Harbour St,1609.34,15,True,False,True,True,True,True
567,7684,Bay St / Harbour St (East),43.64215,-79.377,Bay St / Harbour St (East),1609.34,23,True,False,True,True,True,True
568,7685,King St W / Brant St,43.645102,-79.39744979999999,522 King Street West,1000.0,22,True,False,True,True,True,True
569,7686,Lower Jarvis / The Esplanade,43.6478206,-79.3704721,The Esplanade & Lower Jarvis St,1000.0,15,True,False,True,True,True,True
570,7687,Bloor St W / Gladstone Ave - SMART,43.6602021,-79.4342726,"1101 Bloor Street West, Toronto",1000.0,11,True,False,True,True,False,True
571,7688,High Park Blvd / Parkside Dr,43.644887,-79.45641169999999,200 Parkside Drive,1000.0,15,True,False,True,True,True,True
572,7689,20 Eaton Ave,43.680012,-79.34403250000001,26 Lipton Avenue,1000.0,26,True,True,True,True,True,True
573,7691,Christie St / Dupont St,43.67168,-79.421192,Christie St / Dupont St,1000.0,19,True,False,True,True,True,True
574,7692,85 Lee Ave,43.6700692,-79.2971326,85 Lee Ave,50.0,26,True,True,True,True,True,True
575,7693,Mutual St / Shuter St (Arena Gardens),43.6559476,-79.37558829999999,78 Mutual Street - SMART Vault,1000.0,19,True,False,True,True,True,True
