station_id,name,lat,lon,address,capacity,ward_id,first_use
7154,Bathurst Subway Station,43.6666667,-79.41166666666668,Bathurst Subway Station,23,11,2018-01-01
7155,Bathurst St / Lennox St,43.663808,-79.410491,Bathurst St / Lennox St,19,11,2018-01-01
7156,Salem Ave / Bloor St W,43.6608333,-79.43166666666667,Salem Ave / Bloor St W,15,9,2018-01-01
7157,Dufferin St / Bloor St W,43.66083333333333,-79.43583333333333,Dufferin St / Bloor St,22,9,2018-01-03
7158,King St W / Stafford St,43.6422222,-79.41111111111111,King St W / Stafford St,15,10,2018-01-01
7160,King St W / Tecumseth St,43.64333333333333,-79.40555555555557,King St W / Tecumseth St,19,10,2018-01-01
7161,Beverley St / College St,43.6575,-79.39527777777778,Beverley St / College St,23,11,2018-01-01
7162,Hayter St / Laplante Ave,43.6591666666667,-79.3855555555556,Hayter St / Laplante Ave,21,11,2018-01-01
7163,Yonge St / Wood St,43.6622222,-79.3825,Yonge St / Wood St,15,13,2018-01-01
7164,Gould St / Yonge St (TMU),43.657424,-79.381019,Gould St / Yonge St (Ryerson University),23,13,2018-01-01
7168,Queens Quay / Yonge St,43.641646,-79.375308,Queens Quay / Yonge St,31,10,2018-01-01
7169,Front St W / Bay St (North Side),43.646162,-79.378912,Front St W / Bay St (North Side),11,13,2018-01-01
7170,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,Spadina Ave / Willcocks St,15,11,2018-01-01
7171,Ontario Place Blvd / Lake Shore Blvd W,43.6322445,-79.4108105,Ontario Place Blvd / Lake Shore Blvd W,27,10,2018-01-03
7172,Strachan Ave / Princes' Blvd,43.635,-79.4088888888889,Strachan Ave / Princes' Blvd,19,10,2018-01-01
7173,Cariboo St / Rail Path,43.66666667,-79.45833333333334,Cariboo St / Rail Path,19,9,2018-01-02
7174,Bloor St W / Dundas St W,43.6563889,-79.45166666666667,Bloor St W / Dundas St W,15,4,2018-01-02
7175,HTO Park (Queens Quay W),43.63796,-79.387502,HTO Park (Queens Quay W),27,10,2018-01-02
7176,Bathurst St / Fort York Blvd,43.639179,-79.399595,Bathurst St / Fort York Blvd,19,10,2018-01-01
7178,Dundas St W / Edna Ave,43.657192,-79.452559,Dundas St W / Edna Ave,15,4,2018-01-02
7180,Lansdowne Subway Station,43.6587734,-79.443054,Lansdowne Ave / Wade Ave,23,9,2018-01-02
7181,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,Lansdowne Ave / Whytock Ave,15,9,2018-01-02
7182,Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,Sterling Rd / Dundas St W,18,9,2018-01-02
7183,St Clarens Ave / College St,43.651238,-79.43868,St Clarens Ave / College St,15,9,2018-01-03
7184,Ossington Ave / College St,43.6544915,-79.422634,Ossington Ave / College St,11,11,2018-01-01
7188,Exhibition GO (Atlantic Ave),43.637695491830144,-79.42023184193503,Exhibition GO (Atlantic Ave),15,10,2018-01-02
7189,Augusta Ave / Denison Sq,43.653766,-79.4016759,Augusta Ave / Denison Sq,12,11,2018-01-01
7190,St. George St / Hoskin Ave,43.6637403,-79.39806449999999,St. George St / Hoskin Ave,15,11,2018-01-02
7191,Central Tech  (Harbord St),43.661975,-79.407896,Central Tech (Harbord St),11,11,2018-01-01
